,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
916,jazzband/django-axes,433766,Pypi,django-axes,1,jazzband,django-axes,42010582,0,807,227,12,201,92,0,0,0,0,1,1,8
917,workhorsy/py-cpuinfo,433987,Pypi,py-cpuinfo,1,workhorsy,py-cpuinfo,6263470,0,1701,80,4,461,58,0,0,321,1,0,2,9
918,pytest-dev/pytest-flask,434388,Pypi,pytest-flask,1,pytest-dev,pytest-flask,45756495,0,1498,112,4,28,5,0,28,101,0,0,0,2
919,mgedmin/check-manifest,434500,Pypi,check-manifest,1,mgedmin,check-manifest,2982314,0,2045,120,5,308,52,0,597,0,4,1,2,3
920,slackapi/python-slackclient,434862,Pypi,slackclient,1,slackapi,python-slackclient,49816094,0,1430,933,26,274,86,0,0,0,0,0,2,4
921,corydolphin/flask-cors,434894,Pypi,Flask-Cors,4,corydolphin,flask-cors,14826392,0,1900,363,10,170,62,0,0,0,0,0,0,4
923,paylogic/pip-accel,435085,Pypi,pip-accel,1,paylogic,pip-accel,3449665,0,2001,215,4,308,43,0,0,0,2,0,1,3
925,pydanny/cached-property,456041,Pypi,cached-property,7,pydanny,cached-property,9715622,0,1607,324,5,173,13,0,0,667,0,9,13,1
927,ProjetPP/PPP-libmodule-Python,569207,Pypi,ppp_libmodule,1,ProjetPP,PPP-libmodule-Python,13557214,0,1427,0,3,34,0,484,0,508,418,0,0,1
929,mapbox/snuggs,569298,Pypi,snuggs,1,mapbox,snuggs,16318702,0,1336,9,2,31,7,0,0,604,322,5,0,1
930,jazzband/django-pipeline,569525,Pypi,django-pipeline,2,jazzband,django-pipeline,30015601,0,2686,363,17,143,48,0,0,1,0,1,1,2
931,cablehead/python-consul,570199,Pypi,python-consul,1,cablehead,python-consul,12211410,0,1476,328,21,393,83,0,1,0,0,9,2,1
933,kvesteri/sqlalchemy-utils,571143,Pypi,SQLAlchemy-Utils,6,kvesteri,sqlalchemy-utils,2747637,0,2060,414,24,1095,103,0,0,0,0,1,0,2
935,docker/docker-py,605287,Pypi,docker-py,29,docker,docker-py,11013070,1,1966,3282,148,2526,712,0,0,0,0,1,4,3
936,certbot/certbot,605549,Pypi,acme,2,certbot,certbot,36507912,0,1428,9474,157,5882,1590,0,0,0,0,2,2,4
938,mmerickel/pyramid_services,605863,Pypi,pyramid_services,1,mmerickel,pyramid_services,16320871,0,1334,65,2,69,4,0,0,418,193,256,11,4
940,KristianOellegaard/django-hvad,606246,Pypi,django-hvad,5,KristianOellegaard,django-hvad,27427,0,2744,360,19,256,157,0,4,0,1,1,2,2
946,ramusus/django-oauth-tokens,651962,Pypi,django-oauth-tokens,2,ramusus,django-oauth-tokens,984601,1,2469,8,2,136,5,0,406,926,4,1,0,2
948,vintasoftware/tapioca-wrapper,652165,Pypi,tapioca-wrapper,1,vintasoftware,tapioca-wrapper,15706940,0,1350,257,12,341,39,0,18,0,0,0,0,3
951,skorokithakis/django-annoying,654327,Pypi,django-annoying,5,skorokithakis,django-annoying,2304687,1,2086,485,22,172,21,0,0,0,0,0,1,2
952,websocket-client/websocket-client,654433,Pypi,websocket-client,14,websocket-client,websocket-client,55178684,1,2843,789,3,99,44,0,0,0,0,62,0,1
953,noirbizarre/flask-restplus,655495,Pypi,flask-restplus,2,noirbizarre,flask-restplus,11389434,0,1518,1110,13,488,148,0,18,0,0,11,3,2
954,incuna/incuna-pigeon,655547,Pypi,incuna-pigeon,1,incuna,incuna-pigeon,16534273,0,1328,1,3,29,0,0,3,0,10,0,2,12
957,mikebryant/django-autoconfig,655827,Pypi,django-autoconfig,1,mikebryant,django-autoconfig,8121647,0,1695,7,7,116,15,0,140,0,18,0,0,1
958,devpi/devpi,656695,Pypi,devpi-client,1,devpi,devpi,61137203,0,558,150,7,192,69,1,131,11,0,3,2,2
966,hammerlab/typechecks,683912,Pypi,typechecks,1,hammerlab,typechecks,16833333,0,1322,0,1,6,0,0,0,7,0,0,0,2
967,swaroopch/edn_format,684181,Pypi,edn_format,1,swaroopch,edn_format,2244854,0,2118,49,2,92,19,0,51,876,2,0,3,3
968,ramusus/django-vkontakte-api,684507,Pypi,django-vkontakte-api,1,ramusus,django-vkontakte-api,2315014,0,2120,17,2,152,2,61,0,612,0,67,5,4
971,craigcitro/apitools,686832,Pypi,google-apitools,2,craigcitro,apitools,5985996,1,1818,7,2,189,3,58,14,835,0,0,1,2
972,spyder-ide/qtpy,686977,Pypi,QtPy,1,spyder-ide,qtpy,19550094,0,1257,190,7,205,56,2,5,83,0,0,0,3
973,gangverk/flask-swagger,687128,Pypi,flask-swagger,1,gangverk,flask-swagger,16914684,0,1319,298,2,65,16,0,0,314,0,0,0,2
977,telminov/sw-django-utils,694492,Pypi,sw-django-utils,1,telminov,sw-django-utils,16955117,0,1318,4,1,52,1,7,32,1121,44,0,0,4
